membros,eixos,escore_latente,escore_design_z,similaridade_semantica,na_faixa,quadrante,solida,confianca_modal
W1529624024|W2312418354|W3130930004,PolInd|Reg,0.062,6.88,0.3935,0,ruido_quimera,0,obra
W2062663664|W2312418354|W3130930004,PolInd|Reg,0.0607,6.88,0.2228,0,ruido_quimera,0,obra
W1595575180|W2312418354|W3130930004,PolInd|Reg,0.0594,6.88,0.3616,1,fechamento_trivial,0,obra
W1598833883|W2312418354|W3130930004,PolInd|Reg,0.0581,6.88,0.2735,0,ruido_quimera,0,obra
W2009202666|W2312418354|W3130930004,PolInd|Reg,0.0581,6.88,0.3246,1,fechamento_trivial,0,obra
W2141042444|W2312418354|W3130930004,PolInd|Reg,0.0581,6.88,0.3727,0,ruido_quimera,0,obra
W1553746973|W2312418354|W3130930004,PolInd|Reg,0.0581,6.869,0.3119,1,fechamento_trivial,0,obra
W1566478880|W2007180942|W3130930004,Cyb|PolInd,0.0413,6.712,0.2775,0,ruido_quimera,0,obra
W1977578104|W2015930340|W3130930004,PolInd|Reg,0.0323,6.571,0.2807,0,ruido_quimera,0,obra
W2015930340|W2141042444|W3130930004,PolInd|Reg,0.0323,6.571,0.4442,0,ruido_quimera,0,obra
W1566478880|W2015930340|W3130930004,Cyb|PolInd|Reg,0.0349,6.499,0.3991,0,ruido_quimera,0,obra
W1601629960|W2015930340|W3130930004,PolInd|Reg,0.0323,6.297,0.2543,0,ruido_quimera,0,obra
W2015930340|W2048086870|W3130930004,Cyb|PolInd|Reg,0.0349,6.012,0.4195,0,ruido_quimera,0,obra
W1553746973|W1566478880|W2048086870,Cyb|PolInd,0.0114,5.976,0.4787,0,ruido_quimera,0,obra
W1492856410|W1553746973|W1566478880,Cyb|PolInd,0.1059,5.797,0.3117,1,fechamento_trivial,0,obra
W1492856410|W2015930340|W3130930004,Cyb|PolInd|Reg,0.0323,5.785,0.2878,0,ruido_quimera,0,obra
W2015930340|W2123755784|W3130930004,Cyb|PolInd|Reg,0.0336,5.72,0.3667,0,ruido_quimera,0,obra
W1553746973|W1566478880|W2154683088,Cyb|PolInd,0.0827,5.669,0.4722,0,ruido_quimera,0,obra
W2015930340|W2154683088|W3130930004,Cyb|PolInd|Reg,0.0323,5.623,0.3577,1,ruido_quimera,0,obra
W1527311855|W2015930340|W3130930004,PolInd|Reg,0.0323,5.594,0.2168,0,ruido_quimera,0,obra
W2127454860|W2312418354|W3130930004,PolInd|Reg,0.0581,5.482,0.3215,1,fechamento_trivial,0,obra
W1980406593|W2312418354|W3130930004,PolInd|Reg,0.0581,5.454,0.2628,0,ruido_quimera,0,obra
W1566172004|W2312418354|W3130930004,PolInd|Reg,0.0581,5.341,0.2706,0,ruido_quimera,0,obra
W2015930340|W2127454860|W3130930004,PolInd|Reg,0.0323,5.341,0.3455,1,ruido_quimera,0,obra
W1980406593|W2015930340|W3130930004,PolInd|Reg,0.0114,5.313,0.2933,1,ruido_quimera,0,obra
W1492856410|W2007180942|W3130930004,Cyb|PolInd,0.0401,5.286,0.2615,0,ruido_quimera,0,obra
W1553746973|W1566478880|W4244612406,Cyb|PolInd,0.0581,5.234,0.3477,1,fechamento_trivial,0,obra
W1553746973|W1566478880|W90769783,Cyb|PolInd,0.0491,5.208,0.3803,0,ruido_quimera,0,obra
W1492856410|W1553746973|W2123755784,Cyb|PolInd,0.084,5.183,0.2152,0,ruido_quimera,0,obra
W1553746973|W1601629960|W1980406593,PolInd|Reg,0.0336,5.173,0.4532,0,ruido_quimera,0,obra
W2015930340|W3124879925|W3130930004,PolInd|Reg,0.0362,5.163,0.365,0,ruido_quimera,0,obra
W1553746973|W1566478880|W2026948646,Cyb|PolInd,0.0517,5.157,0.2584,0,ruido_quimera,0,obra
W2007180942|W2123755784|W3130930004,Cyb|PolInd,0.0401,5.157,0.2408,0,ruido_quimera,0,obra
W1553746973|W1566478880|W2025177555,Cyb|PolInd,0.0659,5.132,0.3536,1,fechamento_trivial,0,obra
W1520641906|W1553746973|W1601629960,PolInd|Reg,0.084,5.116,0.3836,0,ruido_quimera,0,obra
W2101946146|W2312418354|W3130930004,PolInd|Reg,0.0581,5.116,0.2884,0,ruido_quimera,0,obra
W1965278510|W2015930340|W3130930004,PolInd|Reg,0.0323,5.116,0.2842,0,ruido_quimera,0,obra
W1553746973|W1566478880|W1601944394,Cyb|PolInd,0.0349,5.08,0.2959,1,ruido_quimera,0,obra
W2142257426|W2312418354|W3130930004,PolInd|Reg,0.0581,5.06,0.2955,1,fechamento_trivial,0,obra
W2003934805|W2015930340|W3130930004,PolInd|Reg,0.0323,5.06,0.3092,1,ruido_quimera,0,obra
W1553746973|W2123755784|W2154683088,Cyb|PolInd,0.1189,5.055,0.2937,1,fechamento_trivial,0,obra
W1973459906|W2015930340|W3130930004,PolInd|Reg,0.0336,5.032,0.2653,0,ruido_quimera,0,obra
W1553746973|W1566478880|W1970428482,Cyb|PolInd,0.0413,5.029,0.2924,1,fechamento_trivial,0,obra
W2015930340|W3130930004|W570136161,PolInd|Reg,0.0323,5.004,0.31,1,ruido_quimera,0,obra
W1553746973|W1566478880|W2086450534,Cyb|PolInd,0.0375,4.978,0.1937,0,ruido_quimera,0,obra
W1553746973|W1601629960|W2020982650,PolInd|Reg,0.0452,4.976,0.4005,0,ruido_quimera,0,obra
W1553746973|W1601629960|W1980975001,PolInd|Reg,0.0375,4.976,0.4218,0,ruido_quimera,0,obra
W1569410165|W2015930340|W3130930004,PolInd|Reg,0.0323,4.976,0.3293,1,ruido_quimera,0,obra
W1553746973|W1601629960|W2082088739,PolInd|Reg,0.0223,4.976,0.352,1,ruido_quimera,0,obra
W2015930340|W2101946146|W3130930004,PolInd|Reg,0.0114,4.976,0.3497,1,ruido_quimera,0,obra
W1553746973|W2137358449|W2752617332,PolInd|Reg,0.0434,4.962,0.2653,0,ruido_quimera,0,obra
W1540626093|W1553746973|W1566478880,Cyb|PolInd,0.0672,4.952,0.3104,1,fechamento_trivial,0,obra
W1553746973|W1566478880|W1968459280,Cyb|PolInd,0.0439,4.952,0.2668,0,ruido_quimera,0,obra
W1553746973|W1566478880|W2037306909,Cyb|PolInd,0.0114,4.952,0.3735,0,ruido_quimera,0,obra
W2123709218|W2312418354|W3130930004,Cyb|PolInd|Reg,0.0581,4.948,0.2732,0,ruido_quimera,0,obra
W1553746973|W1601629960|W595329111,PolInd|Reg,0.0153,4.948,0.2828,0,ruido_quimera,0,obra
W1553746973|W1601629960|W2037927976,PolInd|Reg,0.0349,4.92,0.3929,0,ruido_quimera,0,obra
W2015930340|W2085563972|W3130930004,PolInd|Reg,0.0323,4.92,0.3366,1,ruido_quimera,0,obra
W2015930340|W2101157755|W3130930004,Cyb|PolInd|Reg,0.0323,4.909,0.3029,1,ruido_quimera,0,obra
W1553746973|W1566478880|W233775549,Cyb|PolInd,0.0504,4.901,0.3279,1,fechamento_trivial,0,obra
W1553746973|W1601629960|W2127617481,PolInd|Reg,0.0581,4.892,0.3868,0,ruido_quimera,0,obra
W142073415|W1553746973|W1601629960,PolInd|Reg,0.0401,4.892,0.3623,0,ruido_quimera,0,obra
W1527571715|W1553746973|W1566478880,Cyb|PolInd,0.0297,4.876,0.2596,0,ruido_quimera,0,obra
W1553746973|W1566478880|W1968044930,Cyb|PolInd,0.0297,4.876,0.2896,0,ruido_quimera,0,obra
W1553746973|W1601629960|W2134758682,PolInd|Reg,0.053,4.864,0.3549,1,fechamento_trivial,0,obra
W2015930340|W2028436159|W3130930004,PolInd|Reg,0.0323,4.864,0.4064,0,ruido_quimera,0,obra
W2083449279|W2312418354|W3130930004,Cyb|PolInd|Reg,0.0581,4.85,0.2553,0,ruido_quimera,0,obra
W1553746973|W1601629960|W2128634656,PolInd|Reg,0.0504,4.835,0.4557,0,ruido_quimera,0,obra
W1553746973|W1601629960|W221732451,PolInd|Reg,0.031,4.835,0.4165,0,ruido_quimera,0,obra
W1553746973|W1566478880|W582908774,Cyb|PolInd,0.0633,4.824,0.3423,1,fechamento_trivial,0,obra
W1500608409|W1553746973|W1601629960,PolInd|Reg,0.0401,4.807,0.3584,1,fechamento_trivial,0,obra
W1553746973|W1601629960|W2043474425,PolInd|Reg,0.0297,4.807,0.3876,0,ruido_quimera,0,obra
W2164284962|W2312418354|W3130930004,Cyb|PolInd|Reg,0.0581,4.786,0.2427,0,ruido_quimera,0,obra
W1553746973|W1574300438|W1601629960,PolInd|Reg,0.0375,4.779,0.359,1,ruido_quimera,0,obra
W2013386523|W2312418354|W3130930004,PolInd|Reg,0.0594,4.769,0.2503,0,ruido_quimera,0,obra
W2061977616|W2312418354|W3130930004,PolInd|Reg,0.0594,4.769,0.1872,0,ruido_quimera,0,obra
W1553746973|W1570538375|W1601629960,PolInd|Reg,0.0323,4.751,0.5313,0,ruido_quimera,0,obra
W1553746973|W2025177555|W2048086870,Cyb|PolInd,0.0388,4.748,0.3029,1,ruido_quimera,0,obra
W1553746973|W1601629960|W2080554996,PolInd|Reg,0.0401,4.723,0.4452,0,ruido_quimera,0,obra
W1553746973|W1601629960|W2057748843,PolInd|Reg,0.0362,4.723,0.3673,0,ruido_quimera,0,obra
W1995875735|W2015930340|W3130930004,Cyb|PolInd|Reg,0.0349,4.715,0.2771,0,ruido_quimera,0,obra
W1540626093|W2015930340|W3130930004,Cyb|PolInd|Reg,0.0323,4.715,0.316,1,ruido_quimera,0,obra
W1535129021|W2312418354|W3130930004,PolInd|Reg,0.0581,4.703,0.2886,0,ruido_quimera,0,obra
W201578715|W2015930340|W3130930004,Cyb|PolInd|Reg,0.0336,4.682,0.2319,0,ruido_quimera,0,obra
W1520641906|W1553746973|W2126563689,PolInd|Reg,0.0491,4.667,0.3448,1,fechamento_trivial,0,obra
W2312418354|W3130930004|W4230710385,Cyb|PolInd|Reg,0.0171,4.656,0.378,0,ruido_quimera,0,obra
W1495419098|W2015930340|W3130930004,Cyb|PolInd|Reg,0.0323,4.65,0.3474,1,ruido_quimera,0,obra
W1553746973|W1566478880|W1983425281,Cyb|PolInd,0.0375,4.645,0.2823,0,ruido_quimera,0,obra
W1530425941|W1553746973|W1566478880,Cyb|PolInd,0.0362,4.645,0.2817,0,ruido_quimera,0,obra
W1855283887|W2312418354|W3130930004,Cyb|PolInd|Reg,0.0581,4.623,0.211,0,ruido_quimera,0,obra
W1553746973|W2123755784|W4244612406,Cyb|PolInd,0.0349,4.62,0.2933,1,ruido_quimera,0,obra
W1527571715|W2015930340|W3130930004,Cyb|PolInd|Reg,0.0323,4.618,0.3457,1,ruido_quimera,0,obra
W2015930340|W2988934653|W3130930004,Cyb|PolInd|Reg,0.0323,4.618,0.3069,1,ruido_quimera,0,obra
W2070631858|W2312418354|W3130930004,PolInd|Reg,0.0672,4.605,0.3539,1,fechamento_trivial,0,obra
W2140956556|W2312418354|W3130930004,PolInd|Reg,0.0594,4.605,0.2536,0,ruido_quimera,0,obra
W1553746973|W2123755784|W90769783,Cyb|PolInd,0.0426,4.594,0.3824,0,ruido_quimera,0,obra
W1999686839|W2312418354|W3130930004,Cyb|PolInd|Reg,0.0607,4.591,0.2439,0,ruido_quimera,0,obra
W1541456364|W2015930340|W3130930004,Cyb|PolInd|Reg,0.0323,4.585,0.2329,0,ruido_quimera,0,obra
W2017802748|W2312418354|W3130930004,PolInd|Reg,0.0581,4.572,0.3368,1,fechamento_trivial,0,obra
W2179492332|W2312418354|W3130930004,Cyb|PolInd|Reg,0.0581,4.559,0.2732,0,ruido_quimera,0,obra
W1553746973|W2026948646|W2123755784,Cyb|PolInd,0.0439,4.543,0.1844,0,ruido_quimera,0,obra
W2015930340|W2108795964|W3130930004,PolInd|Reg,0.0323,4.539,0.32,1,ruido_quimera,0,obra
W1606540910|W2015930340|W3130930004,Cyb|PolInd|Reg,0.0114,4.52,0.1834,0,ruido_quimera,0,obra
W1553746973|W2025177555|W2123755784,Cyb|PolInd,0.0543,4.517,0.2349,0,ruido_quimera,0,obra
W1554940969|W2015930340|W3130930004,PolInd|Reg,0.0223,4.507,0.3185,1,ruido_quimera,0,obra
W225706379|W2312418354|W3130930004,Cyb|PolInd|Reg,0.0594,4.494,0.2847,0,ruido_quimera,0,obra
W2015930340|W2108020239|W3130930004,Cyb|PolInd|Reg,0.0323,4.488,0.2835,0,ruido_quimera,0,obra
W2059789395|W2312418354|W3130930004,PolInd|Reg,0.0581,4.474,0.2677,0,ruido_quimera,0,obra
W1553746973|W1601944394|W2123755784,Cyb|PolInd,0.0323,4.466,0.2254,0,ruido_quimera,0,obra
W2011303397|W2312418354|W3130930004,Cyb|PolInd|Reg,0.0581,4.461,0.1663,0,ruido_quimera,0,obra
W1992324015|W2015930340|W3130930004,Cyb|PolInd|Reg,0.0336,4.455,0.3172,1,ruido_quimera,0,obra
W1553746973|W2126563689|W2127617481,PolInd|Reg,0.0323,4.442,0.3439,1,ruido_quimera,0,obra
W1521985566|W2312418354|W3130930004,PolInd|Reg,0.062,4.441,0.3904,0,ruido_quimera,0,obra
W1495886451|W2312418354|W3130930004,PolInd|Reg,0.0607,4.441,0.3426,1,fechamento_trivial,0,obra
W2000465687|W2015930340|W3130930004,Cyb|PolInd|Reg,0.0323,4.423,0.2502,0,ruido_quimera,0,obra
W2015930340|W2036963701|W3130930004,Cyb|PolInd|Reg,0.0323,4.423,0.3278,1,ruido_quimera,0,obra
W1553746973|W1970428482|W2123755784,Cyb|PolInd,0.0426,4.415,0.1957,0,ruido_quimera,0,obra
W1553746973|W2072863585|W2123755784,Cyb|PolInd,0.031,4.415,0.2425,0,ruido_quimera,0,obra
W1731457293|W2312418354|W3130930004,PolInd|Reg,0.0581,4.408,0.2558,0,ruido_quimera,0,obra
W2082503759|W2312418354|W3130930004,PolInd|Reg,0.0581,4.408,0.3377,1,fechamento_trivial,0,obra
W2122679534|W2312418354|W3130930004,PolInd|Reg,0.0581,4.408,0.2603,0,ruido_quimera,0,obra
W2015930340|W225706379|W3130930004,Cyb|PolInd|Reg,0.0336,4.39,0.317,1,ruido_quimera,0,obra
W1553746973|W2126563689|W2128634656,PolInd|Reg,0.0323,4.386,0.4371,0,ruido_quimera,0,obra
W1553746973|W2086450534|W2123755784,Cyb|PolInd,0.031,4.364,0.1177,0,ruido_quimera,0,obra
W2011303397|W2015930340|W3130930004,Cyb|PolInd|Reg,0.0323,4.358,0.2442,0,ruido_quimera,0,obra
W2015930340|W2132454116|W3130930004,Cyb|PolInd|Reg,0.0323,4.358,0.2591,0,ruido_quimera,0,obra
W1978399955|W2312418354|W3130930004,PolInd|Reg,0.0581,4.343,0.2482,0,ruido_quimera,0,obra
W1540626093|W1553746973|W2123755784,Cyb|PolInd,0.0594,4.338,0.167,0,ruido_quimera,0,obra
W1553746973|W1968459280|W2123755784,Cyb|PolInd,0.0297,4.338,0.2609,0,ruido_quimera,0,obra
W2015930340|W2063282131|W3130930004,Cyb|PolInd|Reg,0.0336,4.326,0.3061,1,ruido_quimera,0,obra
W2108767715|W2312418354|W3130930004,PolInd|Reg,0.0581,4.31,0.2786,0,ruido_quimera,0,obra
W1553746973|W2123755784|W233775549,Cyb|PolInd,0.0336,4.287,0.2452,0,ruido_quimera,0,obra
W2007180942|W3130930004|W67809301,PolInd|Reg,0.0401,4.277,0.2284,0,ruido_quimera,0,obra
W2012275303|W2015930340|W3130930004,PolInd|Reg,0.0323,4.277,0.3472,1,ruido_quimera,0,obra
W1553746973|W2080554996|W2126563689,PolInd|Reg,0.0297,4.273,0.358,1,ruido_quimera,0,obra
W2015930340|W2017802748|W3130930004,PolInd|Reg,0.0114,4.244,0.4037,0,ruido_quimera,0,obra
W1553746973|W2123755784|W582908774,Cyb|PolInd,0.0388,4.21,0.2331,0,ruido_quimera,0,obra
W1503457370|W1995875735|W3130930004,Cyb|PolInd,0.0284,4.148,0.2875,0,ruido_quimera,0,obra
W2015930340|W2059789395|W3130930004,PolInd|Reg,0.0323,4.146,0.3275,1,ruido_quimera,0,obra
W1731457293|W2015930340|W3130930004,PolInd|Reg,0.0323,4.08,0.2886,0,ruido_quimera,0,obra
W2015930340|W2082503759|W3130930004,PolInd|Reg,0.0323,4.08,0.4228,0,ruido_quimera,0,obra
W2015930340|W2122679534|W3130930004,PolInd|Reg,0.0151,4.08,0.3704,0,ruido_quimera,0,obra
W1510137183|W2015930340|W3130930004,PolInd|Reg,0.0323,4.047,0.3756,0,ruido_quimera,0,obra
W1553746973|W1983425281|W2123755784,Cyb|PolInd,0.0297,4.031,0.185,0,ruido_quimera,0,obra
W2015930340|W2102469678|W3130930004,PolInd|Reg,0.0323,4.014,0.3826,0,ruido_quimera,0,obra
W1978399955|W2015930340|W3130930004,PolInd|Reg,0.0151,4.014,0.3547,1,ruido_quimera,0,obra
W2015930340|W2108767715|W3130930004,PolInd|Reg,0.0323,3.982,0.3603,1,ruido_quimera,0,obra
W1491554624|W2015930340|W3130930004,PolInd|Reg,0.0323,3.949,0.346,1,ruido_quimera,0,obra
W1520641906|W1553746973|W595329111,PolInd|Reg,0.0362,3.908,0.2209,0,ruido_quimera,0,obra
W1503457370|W3130930004|W4230710385,Cyb|PolInd,0.0284,3.885,0.4648,0,ruido_quimera,0,obra
W1498201492|W2015930340|W3130930004,PolInd|Reg,0.0323,3.883,0.4223,0,ruido_quimera,0,obra
W2007180942|W3130930004|W90769783,Cyb|PolInd,0.0401,3.796,0.2877,0,ruido_quimera,0,obra
W1503457370|W1999686839|W3130930004,Cyb|PolInd,0.0284,3.779,0.2955,1,ruido_quimera,0,obra
W2048086870|W2120106358|W3124879925,Cyb|PolInd,0.0594,3.667,0.2621,0,ruido_quimera,0,obra
W1553746973|W2127454860|W3124879925,PolInd|Reg,0.0527,3.49,0.4633,0,ruido_quimera,0,obra
W1601944394|W2007180942|W3130930004,Cyb|PolInd,0.0401,3.472,0.359,1,fechamento_trivial,0,obra
W2140409505|W2752617332|W3130930004,PolInd|Reg,0.0195,3.424,0.3867,0,ruido_quimera,0,obra
W2007180942|W2123709218|W3130930004,Cyb|PolInd,0.0114,3.407,0.2525,0,ruido_quimera,0,obra
W2007180942|W2127454860|W3130930004,PolInd|Reg,0.0401,3.358,0.2654,0,ruido_quimera,0,obra
W1980406593|W2007180942|W3130930004,PolInd|Reg,0.0401,3.293,0.2508,0,ruido_quimera,0,obra
W1492856410|W2120106358|W3124879925,Cyb|PolInd,0.0594,3.213,0.2413,0,ruido_quimera,0,obra
W2007180942|W2083449279|W3130930004,Cyb|PolInd,0.0114,3.213,0.291,0,ruido_quimera,0,obra
W1566478880|W2007180942|W2048086870,Cyb|PolInd,0.0388,3.161,0.4775,0,ruido_quimera,0,obra
W1566478880|W2048086870|W3121147769,Cyb|PolInd,0.0114,3.161,0.536,0,ruido_quimera,0,obra
W1968459280|W2007180942|W3130930004,Cyb|PolInd,0.0401,3.148,0.2549,0,ruido_quimera,0,obra
W1553746973|W1999997471|W2752617332,PolInd|Reg,0.0323,3.129,0.285,0,ruido_quimera,0,obra
W2007180942|W2164284962|W3130930004,Cyb|PolInd,0.0401,3.084,0.2863,0,ruido_quimera,0,obra
W1506732837|W2007180942|W3130930004,Cyb|PolInd,0.0401,3.019,0.3471,1,fechamento_trivial,0,obra
W1916207017|W2007180942|W3130930004,Cyb|PolInd,0.0401,3.019,0.219,0,ruido_quimera,0,obra
W2007180942|W233775549|W3130930004,Cyb|PolInd,0.0401,3.019,0.262,0,ruido_quimera,0,obra
W1492856410|W1566478880|W3121147769,Cyb|PolInd,0.1059,2.981,0.3388,1,fechamento_trivial,0,obra
W1968044930|W2007180942|W3130930004,Cyb|PolInd,0.0401,2.954,0.2836,0,ruido_quimera,0,obra
W1553746973|W1999997471|W2123709218,Cyb|PolInd,0.0297,2.922,0.4252,0,ruido_quimera,0,obra
W2007180942|W2114648917|W3130930004,Cyb|PolInd,0.0401,2.889,0.2449,0,ruido_quimera,0,obra
W1566478880|W2007180942|W2154683088,Cyb|PolInd,0.084,2.853,0.4764,0,ruido_quimera,0,obra
W1566478880|W2154683088|W3121147769,Cyb|PolInd,0.0827,2.853,0.5223,0,ruido_quimera,0,obra
W1566478880|W2048086870|W2140409505,Cyb|PolInd,0.0375,2.853,0.4755,0,ruido_quimera,0,obra
W1566478880|W2048086870|W2108795964,Cyb|PolInd,0.0225,2.853,0.5523,0,ruido_quimera,0,obra
W1566478880|W1999997471|W2048086870,Cyb|PolInd,0.0114,2.853,0.4891,0,ruido_quimera,0,obra
W2007180942|W3130930004|W4230710385,Cyb|PolInd,0.0426,2.824,0.3302,1,fechamento_trivial,0,obra
W1515810707|W2007180942|W3130930004,Cyb|PolInd,0.0401,2.76,0.3443,1,fechamento_trivial,0,obra
W1606540910|W2007180942|W3130930004,Cyb|PolInd,0.0114,2.76,0.1748,0,ruido_quimera,0,obra
W1566478880|W1973308529|W2048086870,Cyb|PolInd,0.0375,2.7,0.4941,0,ruido_quimera,0,obra
W1566478880|W2013386523|W2048086870,Cyb|PolInd,0.017,2.7,0.4589,0,ruido_quimera,0,obra
W2015930340|W2120106358|W3124879925,PolInd|Reg,0.0633,2.637,0.3084,1,fechamento_trivial,0,obra
W1504129344|W2007180942|W3130930004,PolInd|Reg,0.0401,2.637,0.2282,0,ruido_quimera,0,obra
W1992324015|W2007180942|W3130930004,Cyb|PolInd,0.0401,2.63,0.2863,0,ruido_quimera,0,obra
W2007180942|W2179492332|W3130930004,Cyb|PolInd,0.0401,2.63,0.3532,1,fechamento_trivial,0,obra
W1566478880|W1999997471|W2123755784,Cyb|PolInd,0.168,2.623,0.3325,1,fechamento_trivial,0,obra
W1566478880|W2123755784|W2140409505,Cyb|PolInd,0.168,2.623,0.294,1,fechamento_trivial,0,obra
W1492856410|W1554940969|W1566478880,Cyb|PolInd,0.0275,2.623,0.3428,1,ruido_quimera,0,obra
W1553746973|W2012275303|W2127454860,PolInd|Reg,0.0297,2.604,0.4683,0,ruido_quimera,0,obra
W1566478880|W2048086870|W2566856888,Cyb|PolInd,0.0388,2.597,0.5078,0,ruido_quimera,0,obra
W1554940969|W1566478880|W67809301,Cyb|PolInd|Reg,0.0297,2.586,0.2731,0,ruido_quimera,0,obra
W1553746973|W2017802748|W2127454860,PolInd|Reg,0.0297,2.571,0.3985,0,ruido_quimera,0,obra
W2000465687|W2007180942|W3130930004,Cyb|PolInd,0.0114,2.565,0.2976,1,ruido_quimera,0,obra
W1566478880|W2140409505|W2154683088,Cyb|PolInd,0.084,2.546,0.4566,0,ruido_quimera,0,obra
W1566478880|W1999997471|W2154683088,Cyb|PolInd,0.0827,2.546,0.5092,0,ruido_quimera,0,obra
W1492856410|W1566478880|W2061977616,Cyb|PolInd,0.1124,2.521,0.2844,0,ruido_quimera,0,obra
W1492856410|W1566478880|W2013386523,Cyb|PolInd,0.0154,2.521,0.2843,0,ruido_quimera,0,obra
W1569410165|W2007180942|W3130930004,PolInd|Reg,0.0401,2.505,0.2479,0,ruido_quimera,0,obra
W2007180942|W225706379|W3130930004,Cyb|PolInd,0.0413,2.5,0.2524,0,ruido_quimera,0,obra
W1566478880|W2048086870|W2099330597,Cyb|PolInd,0.0375,2.495,0.44,0,ruido_quimera,0,obra
W1566478880|W2048086870|W2120106358,Cyb|PolInd,0.0375,2.495,0.4925,0,ruido_quimera,0,obra
W1566478880|W2061977616|W67809301,Cyb|PolInd|Reg,0.0336,2.48,0.3156,1,ruido_quimera,0,obra
W1566478880|W1973308529|W2123755784,Cyb|PolInd,0.168,2.469,0.3353,1,fechamento_trivial,0,obra
W1566478880|W2048086870|W2060827592,Cyb|PolInd,0.0376,2.444,0.5679,0,ruido_quimera,0,obra
W1566478880|W2048086870|W2070631858,Cyb|PolInd,0.0375,2.444,0.4231,0,ruido_quimera,0,obra
W2010793828|W2120106358|W3124879925,PolInd|Reg,0.0607,2.44,0.2809,0,ruido_quimera,0,obra
W1553746973|W2064927380|W2127454860,PolInd|Reg,0.0195,2.44,0.3597,1,ruido_quimera,0,obra
W1566478880|W2007180942|W4244612406,Cyb|PolInd,0.0594,2.418,0.3932,0,ruido_quimera,0,obra
W1566478880|W3121147769|W4244612406,Cyb|PolInd,0.0581,2.418,0.4176,0,ruido_quimera,0,obra
W1492856410|W1517138715|W1566478880,Cyb|PolInd,0.023,2.418,0.2537,0,ruido_quimera,0,obra
W2010793828|W2012275303|W3124879925,PolInd|Reg,0.0349,2.407,0.3276,1,ruido_quimera,0,obra
W2012275303|W2126563689|W3124879925,PolInd|Reg,0.0336,2.407,0.3246,1,ruido_quimera,0,obra
W1979968159|W2015930340|W3124879925,PolInd|Reg,0.0179,2.407,0.3859,0,ruido_quimera,0,obra
W1566478880|W2013386523|W2154683088,Cyb|PolInd,0.0827,2.393,0.439,0,ruido_quimera,0,obra
W1566478880|W3121147769|W90769783,Cyb|PolInd,0.0491,2.393,0.3775,0,ruido_quimera,0,obra
W1566478880|W1973308529|W2154683088,Cyb|PolInd,0.0115,2.393,0.4733,0,ruido_quimera,0,obra
W2010793828|W2017802748|W3124879925,PolInd|Reg,0.0336,2.374,0.3004,1,ruido_quimera,0,obra
W1517138715|W1566478880|W67809301,Cyb|PolInd|Reg,0.0284,2.373,0.2746,0,ruido_quimera,0,obra
W1517138715|W1566478880|W2123755784,Cyb|PolInd,0.1693,2.367,0.2878,0,ruido_quimera,0,obra
W1566478880|W2123755784|W2566856888,Cyb|PolInd,0.1693,2.367,0.3352,1,fechamento_trivial,0,obra
W1492856410|W2123755784|W3121147769,Cyb|PolInd,0.084,2.367,0.1928,0,ruido_quimera,0,obra
W1566478880|W2131740028|W2154683088,Cyb|PolInd,0.0827,2.341,0.4089,0,ruido_quimera,0,obra
W1566478880|W2007180942|W2026948646,Cyb|PolInd,0.053,2.341,0.2542,0,ruido_quimera,0,obra
W1566478880|W2026948646|W3121147769,Cyb|PolInd,0.0517,2.341,0.2824,0,ruido_quimera,0,obra
W1492856410|W1566478880|W2120106358,Cyb|PolInd,0.1059,2.316,0.3215,1,fechamento_trivial,0,obra
W1566478880|W2007180942|W2025177555,Cyb|PolInd,0.0672,2.316,0.3787,0,ruido_quimera,0,obra
W1566478880|W2025177555|W3121147769,Cyb|PolInd,0.0659,2.316,0.3957,0,ruido_quimera,0,obra
W1492856410|W2007180942|W2154683088,Cyb|PolInd,0.0904,2.29,0.3784,0,ruido_quimera,0,obra
W1517138715|W1566478880|W2154683088,Cyb|PolInd,0.084,2.29,0.3999,0,ruido_quimera,0,obra
W1535129021|W1566478880|W2154683088,Cyb|PolInd,0.0827,2.29,0.4486,0,ruido_quimera,0,obra
W1566478880|W2007180942|W2101157755,Cyb|PolInd,0.0349,2.29,0.3942,0,ruido_quimera,0,obra
W1566478880|W2154683088|W2566856888,Cyb|PolInd,0.0229,2.29,0.4955,0,ruido_quimera,0,obra
W1492856410|W2048086870|W2108795964,Cyb|PolInd,0.015,2.29,0.3494,1,ruido_quimera,0,obra
W1601629960|W1999997471|W2126563689,PolInd|Reg,0.0904,2.278,0.3561,1,fechamento_trivial,0,obra
W1601629960|W2108795964|W2126563689,PolInd|Reg,0.0904,2.278,0.3306,1,fechamento_trivial,0,obra
W1601629960|W2126563689|W2140409505,PolInd|Reg,0.0115,2.278,0.3422,1,ruido_quimera,0,obra
W1492856410|W1566478880|W2140956556,Cyb|PolInd,0.1111,2.265,0.3276,1,fechamento_trivial,0,obra
W1492856410|W1566478880|W2070631858,Cyb|PolInd,0.1059,2.265,0.2125,0,ruido_quimera,0,obra
W1566478880|W1601944394|W3121147769,Cyb|PolInd,0.0349,2.265,0.3361,1,ruido_quimera,0,obra
W1511343964|W2007180942|W3130930004,Cyb|PolInd,0.0413,2.241,0.2963,1,fechamento_trivial,0,obra
W2007180942|W2123755784|W2154683088,Cyb|PolInd,0.1189,2.239,0.299,1,fechamento_trivial,0,obra
