key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,doi,keywords,notes
R001,Europe first? The rise of EU industrial policy promoting and protecting the single market,Donato Di Carlo and Luuk Schmitz,,,,,,2023,,https://openalex.org/W4368376507,"Within Europe’s regulatory state, industrial policy has largely remained within national governments’ remit. Yet, a plethora of new supra- and cross-national industrial policy initiatives have recently emerged whereby the Commission proactively engages in pan-European activities to foster innovation and economic development. This article brings the ‘Developmental Network States’ (DNS) literature into dialogue with EU integration scholarship to explain both the timing of EU industrial policy’s rise since the mid-2010s and the variation in forms of EU integration of different industrial policy functions. Our analysis suggests that the Commission increasingly operates four major developmental functions akin to DNSs and aimed at promoting and protecting the single market. Neofunctionalist theories of EU integration explain these momentous shifts. The timing behind the rise of EU industrial policy is best explained as an interplay of functional, cultivated, and political spillovers, driven especially by the Franco-German realignment on pro-EU industrial policy positions since 2016. Variation in the governance forms of integrated EU industrial policy functions is instead explained in terms of the degree of pre-existing integration of extant policies, the low vs high politics nature of the policy domain and the types of externalities attached to the specific policy area.",10.1080/13501763.2023.2202684,eixo: Instrumentos de governo; eixo: Política industrial; papel: obra-ponte; papel: ponte a construir,"Síntese cienciométrica IPEA · fonte: núcleo global · eixos: Instrumentos de governo, Política industrial · papel: obra-ponte, ponte a construir · razão: ponte a construir=top-25 de bridge_priority (score=0.15)"
R002,"Governing the net-zero transition: Strategy, policy, and politics",James Meadowcroft and Daniel Rosenbloom,,,,,,2023,,https://openalex.org/W4388622472,"This paper applies insights from the literature on transitions in major consumption-production systems to clarify the nature of the challenge of moving to a net-zero greenhouse gas (GHG) emission society. It highlights critical features of transitions including their multiactor/multicausal logic, phased development, and distributive impacts. Because current systems are so dependent on fossil energy resources, and on GHG-emitting industrial processes and agricultural practices, multiple transitions across a range of distinct consumption-production systems will be required for net zero. The transformation of each system faces different barriers and enabling conditions and is influenced by varied nonclimate-related disruptions. Important policy implications follow, including the need to focus on sector and regional transitions, link climate policy to other societal goals, and adopt policy mixes appropriate to the transition phase. The article discusses recent policy and politics-related findings from the transitions literatures including those dealing with policy mixes, transition intermediaries, and green industrial policy.",10.1073/pnas.2207727120,eixo: Instrumentos de governo; eixo: Política industrial; papel: obra-ponte; papel: ponte a construir,"Síntese cienciométrica IPEA · fonte: núcleo global · eixos: Instrumentos de governo, Política industrial · papel: obra-ponte, ponte a construir · razão: ponte a construir=top-25 de bridge_priority (score=0.15)"
R003,Perspectivas de uma Nova agenda de Política Industrial: os Desafios da Indústria Brasileira no Pós-Pandemia da Covid-19,Marcia Angela Dahmer Quinzani,,,,,,2021,,https://openalex.org/W3183746153,"This research aims to investigate the importance of industrial policies for the recovery and economic development of Brazil in the post-Covid-19 pandemic. To this end, it starts from theoretical and historical foundations of industrial policy and industrial processes, especially as a development strategy. From this, we seek to evaluate the challenges that the Brazilian industry has faced in recent years until the current situation. Brazil has shown a significant decline in industrial activity in recent decades. As a result, one can see losses in the capacity for innovation and competitiveness, as well as technological and productive dependence of the Brazilian industry. In the same way, with the arrival of the Covid-19 pandemic, the industrial impact has highlighted issues related to insufficient production in several sectors, especially in the health area. The Brazilian industrial policy agenda needs to be focused on the transformation of the industrial structure, with increased productive gains, supported by new technologies and the diversification of sectors and activities that have greater economic value. The dynamics of the industrial sector is an instrument for the long-term development of the country and for overcoming the post-pandemic economic recession.",10.51798/SIJIS.V2I2.51,eixo: Política industrial; papel: corpus Brasil (Faganello); papel: ponte a construir; papel: ponte global×Brasil,"Síntese cienciométrica IPEA · fonte: Brasil · eixos: Política industrial · papel: corpus Brasil (Faganello), ponte a construir, ponte global×Brasil · razão: ponte a construir=top-25 de bridge_priority (score=0.15)"
R004,"Digital Twin: Values, Challenges and Enablers From a Modeling Perspective",Adil Rasheed and Omer San and Trond Kvamsdal,IEEE Access,,,,,2020,,https://openalex.org/W3003667836,"Digital twin can be defined as a virtual representation of a physical asset enabled through data and simulators for real-time prediction, optimization, monitoring, controlling, and improved decision making. Recent advances in computational pipelines, multiphysics solvers, artificial intelligence, big data cybernetics, data processing and management tools bring the promise of digital twins and their impact on society closer to reality. Digital twinning is now an important and emerging trend in many applications. Also referred to as a computational megamodel, device shadow, mirrored system, avatar or a synchronized virtual prototype, there can be no doubt that a digital twin plays a transformative role not only in how we design and operate cyber-physical intelligent systems, but also in how we advance the modularity of multi-disciplinary systems to tackle fundamental barriers not addressed by the current, evolutionary modeling practices. In this work, we review the recent status of methodologies and techniques related to the construction of digital twins mostly from a modeling perspective. Our aim is to provide a detailed coverage of the current challenges and enabling technologies along with recommendations and reflections for various stakeholders.",10.1109/access.2020.2970143,eixo: Cibernética; papel: cibernética organizacional; papel: mais citada; papel: ponte a construir,"Síntese cienciométrica IPEA · fonte: núcleo global · eixos: Cibernética · papel: cibernética organizacional, mais citada, ponte a construir · razão: ponte a construir=top-25 de bridge_priority (score=0.15)"
R005,The entrepreneurial state: debunking public vs. private sector myths,Mariana Mazzucato,,,,,,2014,,https://openalex.org/W1553746973,"Introduction: Thinking Big Again 1. From Crisis Ideology to the Division of Innovative Labour 2. Technology, Innovation and Growth 3. Risk-Taking State: From 'De-risking' to 'Bring It On!' 4. The US Entrepreneurial State 5. The State behind the iPhone 6. Pushing vs. Nudging the Green Industrial Revolution 7. Wind and Solar Power: Government Success Stories and Technology in Crisis 8. Risks and Rewards: From Rotten Apples to Symbiotic Ecosystems 9. Socialization of Risk and Privatization of Rewards: Can the Entrepreneurial State Eat Its Cake Too? 10. Conclusion",10.5860/choice.51-3359,eixo: Cibernética; eixo: Instrumentos de governo; eixo: Política industrial; papel: cibernética organizacional; papel: higher_order_bridge; papel: obra-ponte; papel: obra-semente; papel: ponte a construir; papel: rajada de citação,"Síntese cienciométrica IPEA · fonte: núcleo global · eixos: Cibernética, Instrumentos de governo, Política industrial · papel: cibernética organizacional, higher_order_bridge, obra-ponte, obra-semente, ponte a construir, rajada de citação · razão: higher_order_bridge=top-40 em hiperarestas trans-eixo: 73 (XGI); ponte a construir=top-25 de bridge_priority (score=0.4714)"
R006,Organizational Systems,Raúl Espejo and Alfonso Reyes,,,,,,2011,,https://openalex.org/W4244612406,,10.1007/978-3-642-19109-1,eixo: Cibernética; eixo: Instrumentos de governo; eixo: Política industrial; papel: cibernética organizacional; papel: higher_order_bridge; papel: obra de autor-ponte; papel: obra-ponte; papel: obra-semente; papel: ponte a construir; papel: rajada de citação,"Síntese cienciométrica IPEA · fonte: núcleo global · eixos: Cibernética, Instrumentos de governo, Política industrial · papel: cibernética organizacional, higher_order_bridge, obra de autor-ponte, obra-ponte, obra-semente, ponte a construir, rajada de citação · razão: higher_order_bridge=top-40 em hiperarestas trans-eixo: 48 (XGI); obra de autor-ponte=autor Alfonso Reyes — cross_axis_score=0.631; ponte a construir=top-25 de bridge_priority (score=0.2884)"
R007,The economy needs agent-based modelling,J. Doyne Farmer and Duncan K. Foley,,,,,,2009,,https://openalex.org/W2050032417,,10.1038/460685a,eixo: Economia da complexidade; papel: complexidade (4º eixo); papel: complexidade · modelagem baseada em agentes; papel: ponte a construir,"Síntese cienciométrica IPEA · fonte: núcleo global · eixos: Economia da complexidade · papel: complexidade (4º eixo), complexidade · modelagem baseada em agentes, ponte a construir · razão: ponte a construir=top-25 de bridge_priority (score=0.1513)"
R008,The Tools of Government in the Digital Age,Christopher C. Hood and Helen Margetts,,,,,,2007,,https://openalex.org/W2126563689,Exploring Governments' Toolshed Nodality Authority Treasure Organization Government as a Toolkit Alternative Approaches to the Tools of Government A Changing Mix of Government Tools in the Digital Age,10.1007/978-1-137-06154-6,eixo: Cibernética; eixo: Instrumentos de governo; eixo: Política industrial; papel: cibernética organizacional; papel: higher_order_bridge; papel: obra-ponte; papel: obra-semente; papel: ponte a construir,"Síntese cienciométrica IPEA · fonte: núcleo global · eixos: Cibernética, Instrumentos de governo, Política industrial · papel: cibernética organizacional, higher_order_bridge, obra-ponte, obra-semente, ponte a construir · razão: higher_order_bridge=top-40 em hiperarestas trans-eixo: 110 (XGI); ponte a construir=top-25 de bridge_priority (score=0.5952)"
R009,Industrial Policy for the Twenty-First Century,Rodrik,,,,,,2004,,https://openalex.org/W3124879925,,10.2139/ssrn.617544,eixo: Cibernética; eixo: Instrumentos de governo; eixo: Política industrial; papel: cibernética organizacional; papel: higher_order_bridge; papel: obra-ponte; papel: obra-semente; papel: ponte a construir; papel: ponte global×Brasil; papel: rajada de citação,"Síntese cienciométrica IPEA · fonte: Brasil · eixos: Cibernética, Instrumentos de governo, Política industrial · papel: cibernética organizacional, higher_order_bridge, obra-ponte, obra-semente, ponte a construir, ponte global×Brasil, rajada de citação · razão: higher_order_bridge=top-40 em hiperarestas trans-eixo: 53 (XGI); ponte a construir=top-25 de bridge_priority (score=0.37)"
R010,Economic development as self-discovery,Ricardo Hausmann and Dani Rodrik,,,,,,2003,,https://openalex.org/W2120106358,,10.1016/s0304-3878(03)00124-x,eixo: Política industrial; papel: obra de autor-semente; papel: ponte a construir,"Síntese cienciométrica IPEA · fonte: núcleo global · eixos: Política industrial · papel: obra de autor-semente, ponte a construir · razão: ponte a construir=top-25 de bridge_priority (score=0.4014)"
