membros,x_latente,y_integracao_kf,semantico,na_faixa,quadrante
W2099670044|W2123755784|W2154683088,0.1057,2.696,0.3419,0,ruido_quimera
W2048086870|W2099670044|W2111030512,0.0563,2.6945,0.2717,1,costura_ouro
W1566478880|W2099670044|W4244612406,0.0517,2.6944,0.4645,0,ruido_quimera
W2099670044|W2111030512|W4244612406,0.0598,2.6943,0.3676,0,ruido_quimera
W2099670044|W4244612406|W52678905,0.0782,2.6938,0.5693,0,ruido_quimera
W1601629960|W2079608375|W4206762723,0.0678,2.6862,0.252,1,costura_ouro
W1601629960|W2079608375|W2126563689,0.0782,2.6851,0.3629,0,ruido_quimera
W1520641906|W1601629960|W2079608375,0.0736,2.684,0.3729,0,ruido_quimera
W2126563689|W2163458930|W4285719527,0.0506,2.3822,0.3018,1,costura_ouro
W1601629960|W2163458930|W4285719527,0.069,2.382,0.3314,0,ruido_quimera
W1978213954|W4206762723|W4285719527,0.0483,2.1036,0.0,0,ruido_quimera
W1601629960|W1978213954|W4285719527,0.0678,2.1035,0.3791,0,ruido_quimera
W1978213954|W2126563689|W4285719527,0.0506,2.1014,0.3333,0,ruido_quimera
W1520641906|W1601629960|W1978213954,0.0736,2.0897,0.3417,0,ruido_quimera
W1558962107|W2111030512|W4285719527,0.0575,1.8389,0.1135,0,ruido_quimera
W1558962107|W2048086870|W4285719527,0.054,1.8366,0.2595,1,costura_ouro
W1601629960|W2333983184|W4285719527,0.069,1.829,0.2699,1,costura_ouro
W2333983184|W4206762723|W4285719527,0.0494,1.8273,0.0,0,ruido_quimera
W2126563689|W2333983184|W4285719527,0.0517,1.8272,0.306,1,costura_ouro
W1601629960|W2126563689|W2333983184,0.0204,1.8012,0.3691,0,ruido_quimera
W1601629960|W2333983184|W4206762723,0.0203,1.8003,0.2699,1,costura_ouro
W1520641906|W1601629960|W91655458,0.0736,1.5945,0.4142,0,ruido_quimera
W1601629960|W4206762723|W91655458,0.0103,1.5908,0.4696,0,ruido_quimera
W1601629960|W2126563689|W91655458,0.0103,1.5907,0.4629,0,ruido_quimera
W1492856410|W2569986058|W4285719527,0.0517,1.4168,0.1313,0,ruido_quimera
W2154683088|W2569986058|W4285719527,0.054,1.4165,0.37,0,ruido_quimera
W2123755784|W2569986058|W4285719527,0.0575,1.4164,0.2085,0,ruido_quimera
W1566478880|W2569986058|W4285719527,0.077,1.4161,0.3131,1,costura_ouro
W2111030512|W2569986058|W4285719527,0.0575,1.416,0.1706,0,ruido_quimera
W2048086870|W2569986058|W4285719527,0.054,1.4159,0.3097,1,costura_ouro
W2569986058|W3124879925|W4285719527,0.054,1.4156,0.2317,1,costura_ouro
W2126563689|W2569986058|W4285719527,0.0506,1.3946,0.08,0,ruido_quimera
W1601629960|W2569986058|W4206762723,0.0713,1.3607,0.1222,0,ruido_quimera
W1601629960|W2126563689|W2569986058,0.0816,1.3592,0.2445,1,costura_ouro
W2099670044|W2154683088|W4285719527,0.054,1.3481,0.4394,0,ruido_quimera
W2048086870|W2099670044|W4285719527,0.054,1.3464,0.2925,1,costura_ouro
W1520641906|W1524264467|W1601629960,0.0736,1.2991,0.2057,0,ruido_quimera
W1524264467|W1601629960|W4206762723,0.0678,1.298,0.116,0,ruido_quimera
W1524264467|W1601629960|W2126563689,0.0782,1.2971,0.2721,1,costura_ouro
W1524264467|W2111030512|W2325487953,0.0494,1.2754,0.3649,0,ruido_quimera
W1524264467|W1566478880|W4244612406,0.0529,1.2714,0.4046,0,ruido_quimera
W1524264467|W4244612406|W52678905,0.0782,1.2713,0.4009,0,ruido_quimera
W1524264467|W1566478880|W2154683088,0.0747,1.2713,0.5679,0,ruido_quimera
W1492856410|W1524264467|W1566478880,0.0954,1.2712,0.38,0,ruido_quimera
W1524264467|W1566478880|W4205188686,0.054,1.2712,0.3252,0,ruido_quimera
W1524264467|W2111030512|W4244612406,0.0609,1.2711,0.2832,1,costura_ouro
W1524264467|W2111030512|W2154683088,0.0506,1.271,0.3042,1,costura_ouro
W1524264467|W1566478880|W2123755784,0.1506,1.271,0.4088,0,ruido_quimera
W1492856410|W1524264467|W2111030512,0.0517,1.2709,0.2749,1,costura_ouro
W1524264467|W2123755784|W52678905,0.0632,1.2708,0.243,1,costura_ouro
W1524264467|W2111030512|W2123755784,0.0759,1.2707,0.2318,1,costura_ouro
W1524264467|W2111030512|W52678905,0.0136,1.2691,0.2257,1,costura_ouro
W1524264467|W2025177555|W2123755784,0.0494,1.2683,0.2839,1,costura_ouro
