obra_a,eixo_a,obra_b,eixo_b,frente,cosseno,centralidade
W1731457293,PolInd,W2099069868,Cyb,Cyb × PolInd,0.4779,0.0769
W2123755784,Cyb,W2752617332,Reg,Cyb × Reg,0.4775,0.3846
W1981733426,PolInd,W2127454860,Reg,PolInd × Reg,0.4769,0.1264
W1978399955,PolInd,W1566344170,Reg,PolInd × Reg,0.4768,0.1044
W617038684,PolInd,W90769783,Cyb,Cyb × PolInd,0.4766,0.1429
W1585382938,PolInd,W2140256961,Cyb,Cyb × PolInd,0.4754,0.0549
W2108795964,PolInd,W1495419098,Cyb,Cyb × PolInd,0.4741,0.1923
W2025579080,PolInd,W1993023795,Cyb,Cyb × PolInd,0.473,0.0495
W2179492332,Cyb,W1585382938,PolInd,Cyb × PolInd,0.4728,0.0495
W2059789395,PolInd,W1601944394,Cyb,Cyb × PolInd,0.4716,0.1648
W2123709218,Cyb,W1566344170,Reg,Cyb × Reg,0.4713,0.1868
W2003934805,Reg,W2004899202,Cyb,Cyb × Reg,0.4713,0.0824
W4371184,Reg,W3022339544,PolInd,PolInd × Reg,0.4712,0.1319
W2140956556,PolInd,W2752617332,Reg,PolInd × Reg,0.4697,0.1978
W1585382938,PolInd,W1965278510,Reg,PolInd × Reg,0.4693,0.0659
W2059789395,PolInd,W2099069868,Cyb,Cyb × PolInd,0.469,0.0879
W2140956556,PolInd,W1566344170,Reg,PolInd × Reg,0.4689,0.1484
W2154683088,Cyb,W2003934805,Reg,Cyb × Reg,0.4679,0.2912
W1491554624,PolInd,W2142257426,Reg,PolInd × Reg,0.4671,0.0385
W1585382938,PolInd,W2123709218,Cyb,Cyb × PolInd,0.4661,0.1154
W2059789395,PolInd,W2087699103,Cyb,Cyb × PolInd,0.4657,0.0714
W2566856888,PolInd,W1569410165,Reg,PolInd × Reg,0.4641,0.1209
W1566172004,Reg,W617038684,PolInd,PolInd × Reg,0.4637,0.0769
W2123709218,Cyb,W2118243939,PolInd,Cyb × PolInd,0.4635,0.1374
W4230710385,Cyb,W1498201492,PolInd,Cyb × PolInd,0.4633,0.0659
W2108767715,PolInd,W67809301,Reg,PolInd × Reg,0.4622,0.2033
W1731457293,PolInd,W1601944394,Cyb,Cyb × PolInd,0.4605,0.1538
W1585382938,PolInd,W603352075,Cyb,Cyb × PolInd,0.4598,0.0385
W1992324015,Cyb,W2127454860,Reg,Cyb × Reg,0.4589,0.1484
W1566172004,Reg,W1511343964,Cyb,Cyb × Reg,0.4584,0.0879
W1491554624,PolInd,W1973459906,Reg,PolInd × Reg,0.4579,0.0604
W1999997471,PolInd,W2123709218,Cyb,Cyb × PolInd,0.4574,0.2253
W2164284962,Cyb,W1566344170,Reg,Cyb × Reg,0.4573,0.1593
